,0
yield_curve_slope,8.493502495422184
volatility_zscore,6.110212992190476
market_vol_zscore,4.332020797128629
month_of_year_sin,3.95719517075071
price_percentile,3.8375862009747714
cs_z_rsi,3.751834505581133
dist_52w,3.440943435412827
mdd_63,2.9745759003064585
cs_rank_price_percentile,2.8574250471945595
return_skew_63d,2.6777021962204266
cs_rank_mom21d,2.6250164099153688
beta_63d,2.4292144807299527
mom_1m,2.4138527872799416
time_from_low_252,2.4097697432366876
cs_z_beta,2.4046977308482025
corr_spy_63d,2.385033028488862
10yTbill,2.3806634598801404
rsi,2.3486406727869946
cs_z_corr_spy,2.1488479552589084
cs_rank_volume_surge,2.0974880354925567
es95_63,1.9091033147002359
vol_adj_momentum,1.8309060561592594
volume_surge,1.8017799166442396
amihud_illiquidity,1.6959622515752837
return_skew_21d,1.6414834437177703
vix,1.6401101463580294
time_from_high_252,1.6052130583445587
time_from_low_63,1.553031507892713
momentum_63_21d,1.5318306827839465
market_returns_zscore,1.412452550570625
adx,1.383289561849737
cs_z_volatility,1.370599455889626
cmf,1.3412843286993552
mom_persistence_63d,1.3023544115111538
cs_rank_mom63d,1.2274313914360984
trix,1.1491414710374188
dd_speed_21,0.9889567908170263
volume_skew_21d,0.961988141456881
time_from_high_63,0.9323911896180034
vix_high,0.9105699003358061
momentum_63d,0.7523242035256966
trend_strength_63,0.7043275166639251
volatility_63d,0.6365456890624611
obv,0.6147303707156244
cs_z_obv,0.5228258226034016
volume,0.5138851116881618
vov_63,0.4168254264108472
volatility_21d,0.35438384896988645
vol_trend_63,0.3456431503197622
macd,0.25831073773474533
mom_12m,0.20967432687120854
price_max_63d,0.1594393385321142
atr,0.15390500048623948
dsv_63,0.07487524814935624
beta_instability_63,0.016201591769036915
